s,t,status,forcedness_ln,L1,L2,path_len_edges
10614198451,11383564606,ok,0.003384203788125062,6265.477899701359,6286.717472995034,20
4650574860,5172386562,ok,0.0008670481120445376,2884.614614123319,2887.116798378782,21
2090306793,9075904253,ok,0.014612248773698329,2423.2340976210753,2458.9029636047712,19
3960713569,11377005958,ok,0.014922836319399935,2870.9237485358362,2914.0873342741565,19
607332489,5172386724,ok,0.0005429679283698991,5685.836807938562,5688.924873255564,30
806427732,6070570529,ok,0.04086169156966558,1370.758654445947,1427.930281875058,7
12037635559,5464361358,ok,3.396918970124454e-05,10512.717183288261,10513.074297837948,67
2925528405,4655595081,ok,0.008397796112830577,4574.994391445561,4613.576035210509,20
9415239959,3955455240,ok,0.002307856964397205,3261.7609618647384,3269.297332704721,23
6168025739,9378723466,ok,4.909329110529773e-07,5229.548466538148,5229.55103389623,40
414688690,4644458368,ok,0.000682126333942778,2289.7602044566684,2291.322643020204,26
4679542699,6440411700,ok,0.0013219048714693826,4836.785200159209,4843.183197918081,30
5833798064,3960713564,ok,0.006085810035791247,2056.680167171248,2069.2348960714116,7
6168027036,5172385286,ok,0.006039915031257858,3363.4359807044916,3383.8123219809872,27
7868203116,11383534585,ok,0.001005312346485025,3231.0746893673945,3234.3245619398335,35
4654975983,7868203117,ok,0.0002990565644576544,1577.8080970887481,1578.2800215201692,18
2093025314,5340962524,ok,0.020345715981194966,3038.706328733934,3101.1642052447014,29
11383544042,12355192284,ok,0.008065831833859673,3958.8319758606926,3990.8923719037007,23
5913325107,5348067224,ok,0.016141580554195765,1322.9196134869514,1344.4469018137615,10
9327595794,4644458123,ok,0.0007609449794487828,4269.2130572960095,4272.462929868449,53
5920272179,10738344144,ok,3.028521578998655e-07,8477.263994408957,8477.26656176704,66
10738348099,11377005952,ok,0.0006611221223268762,10457.991575815004,10464.907871406978,70
9366839622,4690629670,ok,0.0003136609086115145,4495.148466458808,4496.5586399577305,33
4680058488,5172386783,ok,0.0009163921817032191,6978.526003094095,6984.924000852967,54
13169574010,9263028986,ok,0.0007007949267569915,8651.646392352282,8657.711547218794,63
2089666820,13443010850,ok,1.2009215007824307e-06,5053.904377959494,5053.910447305569,43
4644457891,9013292104,ok,2.234706846371429e-05,2924.636734353679,2924.702092141288,27
11383553085,10614202072,ok,0.0044257702843880364,5973.432013193003,5999.927639622414,22
12364877223,9352962613,ok,0.00023059945002911134,5543.444324279474,5544.722786892643,33
9259996661,11383534604,ok,0.000819279990672207,3965.1175586140503,3968.3674311864893,51
6518850363,4553784747,ok,0.0008803312551513152,2533.2141213190025,2535.4451707731882,19
7259984650,9274304726,ok,6.438402044333054e-05,9516.286795148071,9516.899511676,72
4644457922,4553556559,ok,0.0782454455770878,599.9011116269903,648.7258921030984,11
4644456550,6729361889,ok,0.7080580353498753,85.93543188679995,174.4528069180524,2
5172385289,2094032988,ok,0.00850786236648154,2461.8756128324535,2482.9102647913455,29
8491438773,4644456574,ok,0.005801943550632642,2238.7361347078286,2251.7629091482913,24
8086586479,4682895179,ok,0.004104920830521135,7020.127211470299,7049.003504794539,48
4761276197,9369826367,ok,0.0004104866206160541,4956.55224346047,4958.5872594856455,35
9013405187,4637538957,ok,0.0012401430399621876,3713.878761179297,3718.4873591459314,29
9352983221,7868195258,ok,0.07663747518400525,1109.3665370441677,1197.7282532202653,13
9369659494,9327434862,ok,0.007486990156006678,3919.3266125215478,3948.7806959165764,28
4644457892,11377007867,ok,3.59048156376436e-05,4012.2006188423743,4012.344678752102,36
11383564575,5920272886,ok,0.00013249714527274802,4624.068963646608,4624.681680174534,45
5340962524,4659625151,ok,0.0033908130717872466,7695.497627118764,7721.635911040119,57
11377005953,4680082653,ok,0.0005991792091867616,10674.738172824907,10681.13617058378,81
4651169942,4642688811,ok,0.000886889418098358,5216.374090656569,5221.002489774134,49
9081636046,9265917697,ok,0.0004921756864487881,6601.449387623062,6604.699260195501,49
9179722209,3960713566,ok,0.2539300797927168,497.30611613729207,641.0681978257775,7
5172386544,5172386909,ok,0.2865949581951433,735.6693633667636,979.8267216928277,3
4632668456,2087123402,ok,0.0028989233085002708,2532.962150574123,2540.3156670824114,32
607332489,11377007801,ok,0.003966015361274407,2990.759037570474,3002.6439862213397,27
5346255521,4651169942,ok,0.01373814666903893,1230.9195531746311,1247.94680013735,14
4644457895,5913325096,ok,0.000495771792033142,3100.216095168629,3101.753475921337,29
11383564624,11368370569,ok,0.002406180721470161,3415.4388414474597,3423.6668996708113,36
11383450518,5464361357,ok,0.0012064597816519931,6265.228719527968,6272.792027496976,55
6424387025,4054947893,ok,0.0011706085721901985,4206.12735915233,4211.053970899061,32
5172386545,11368370595,ok,0.034661277731655046,971.1314353400395,1005.3822512346595,11
4654975983,9422094467,ok,0.035538874505587584,1821.6858552165713,1887.5906753802471,15
2094031773,7259984526,ok,0.0004305101632923639,7547.26217424721,7550.512046819648,41
5130438563,9078670677,ok,0.010873306034075407,3206.0123196798986,3241.0624830296147,26
4682895591,9274304202,ok,0.00822902130310979,2605.2716064010488,2626.7988947278586,24
9327595789,9259996657,ok,0.0005549518379836315,3706.302036015883,3708.359425966258,44
3966737308,12923510322,ok,0.0007039126477953082,9085.994160373804,9092.392158132678,57
4553784769,11782519936,ok,0.0046063391681283716,3542.796970581979,3559.153938982077,25
7868195246,8900434793,ok,0.0042322627838839956,6287.373464661124,6314.039670776,44
4644458170,5340951574,no_path,,,,0
