u,v,forcedness_ln_mean,forcedness_ln_median,n_forcedness,n_path1,n_no_alt,no_alt_ratio
437306438,437306443,0.0020444260052082056,0.00030204218811609505,15,15,0,0.0
437306443,9366887330,0.0011324338151279644,0.0002935261735015008,14,14,0,0.0
9366887330,9366887327,0.0004127551798084398,0.00026258191994937917,11,11,0,0.0
9327595789,9327595787,0.009503833561367789,0.0018627924305453228,19,19,0,0.0
9327595787,11383534588,0.009931550322003718,0.0006495882389064588,12,12,0,0.0
11383534588,11383534587,0.01057882586315178,0.0005549518379836315,11,11,0,0.0
11383534587,11383534585,0.008634849374842548,0.0007525848096390346,14,14,0,0.0
11383534585,9327595729,0.007507188509531152,0.0006495882389064588,16,16,0,0.0
9327595729,9327595720,0.004592274940806583,0.0008203742208405318,45,45,0,0.0
9327595720,9327595723,0.002143531195271516,0.0008388036053426828,48,48,0,0.0
9327595723,9075904234,0.002105486480304902,0.0008388036053426828,48,48,0,0.0
9075904234,9075904231,0.002105486480304902,0.0008388036053426828,48,48,0,0.0
9075904231,3966746430,0.000995612204651046,0.0007442246398292863,39,39,0,0.0
3966746430,11383564630,0.0007547824370070686,0.000478174455158072,79,79,0,0.0
11383564630,2090304555,0.0007512794950562165,0.00047712506610830623,80,80,0,0.0
2090304555,11383564601,0.0006279206543203086,0.0004760756770585405,79,79,0,0.0
11383564601,11383544048,0.0006593411518283643,0.000478174455158072,81,81,0,0.0
11383544048,11383564599,0.02745400275733695,0.000478174455158072,91,91,0,0.0
11383564599,11383564618,0.02748261220818729,0.000478174455158072,91,91,0,0.0
11383564618,11383564571,0.0010927941138574647,0.000478174455158072,91,91,0,0.0
11383564571,11383564576,0.0015946606182418704,0.0004839441852493468,96,96,0,0.0
11383564576,11383564595,0.0017147123655601355,0.0005006096247872978,102,102,0,0.0
11383564595,9078652292,0.0017147123655601355,0.0005006096247872978,102,102,0,0.0
9078652292,2089666820,0.0017238495975930791,0.0005090435631258074,103,103,0,0.0
2089666820,9422130117,0.003715021549305492,0.0012219503576518021,94,94,0,0.0
9422130117,9422130119,0.003612480284125265,0.0012219503576518021,94,94,0,0.0
